Title,Company,Location,Postdate,ExtractDate,Summary,Salary,JobURL
Supervisor de Información y Bases de Datos,PlayCity Casino,"Tlalpan, CDMX",hace 2 días,2021-01-24,Únete al mejor equipo de trabajo y vive la “Experiencia Play”. Tendrás oportunidad de desarrollar una carrera en el mejor casino de México.,"$25,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARZ6FD_sGVUlGBzehOYNtGzUDZUjJmHvpVAt3NcHx3Z0EojSYCsOFVAwe3aTTQoWJc8CD-5SHmwlwCtentlPReJZ5MuTD6pTrjVoHKmcKpajIFQLAns2QxZd8ZiArbqimiHjBX5x-LbMtbL3icxo6ASeptTPkVSjTOz33KAo_xiBwkduZpc0KEQfhfbWCkNfUgf9D0WNLYKei3Jfd_mqTi4P4LgZWOxETGFdz1S2H5n8ZDYnKSaAf1BKPV0P69ViN2yU7SPgjhCApX1kGopBw5azF59MoMAYZGUdGxc9b35aL6NYHbAaGJggAz0qf4F1lsFos0FgZNWMHpXJw7YuyIh51kx8zVIHKjqQcNw-hw4BhgPqTZ38qLuUPasbZoo51Ac598Vueb8Fhk7WQasRcjhN1GN149Mm2FSpDvENy0UNrHg3UUQupN4Y40Z-6k_UmaNCk3i4mSPhQ_mAAPIBOKL1ez9iPgb0ylGRWbRqkd9qCHkFItJEOWZ5zm2uHPFCKEAXfTF8yqgw==&p=0&fvj=1&vjs=3
Analista Programador,TELEFÓNICA MOVISTAR MÉXICO,"Álvaro Obregón, CDMX",hace 8 días,2021-01-24,"Creación de hotfixes, work arounds y automatizaciones a través de programación avanzada en Shell script en linux, awk, pl/sql, sql avanzado, base de datos,…",,https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CAK0KuF2dXzmzJqvPttU3dIjGr4O77-6vARMFVn6iksX32Lw8x6_4x2vvCHoFEgUERI24eTi8aQMnIwcRP4vxhuH6fA2g7bRMYLlHFv7IPhD-sfUaomJjb5bOrk66A3aBfclbr-m-6n6UagZym155mGE1ISuvPgRwmALROcsp8c1kq2bm50VPv0cpPYwrkY2EzsU5nU9LzHX_5lCTUe9Ln-zHObX9cdzlzmKcVlY8NoAhc_FqliEyKltNiXzTc5jgs85ZZ7PbRggFjBgBvaVywhEGeouw0ed8E942oUfM11ayoR3juZCUz_WKc2gn7MMUvcIwjXN4_KXh8Ue8wTCSjle3nK-1UjUPO0U5ju4bTYDZX5uZLe7LkdfLi3gKgr4ypc5Vw0YyYwAhg0fUylcEOraLWnXO5BsVo6b8nvOT-FjAKHlqyceaG4cHNxQgS3nPOrrqXqTBpFaMyEA6UhuLxppmOmIK2DUg=&p=1&fvj=1&vjs=3
Trafficker Digital para agencia digital de performance,Olozfera,"Cuauhtémoc, CDMX",hace 17 días,2021-01-24,"Olózfera Agencia digital de alto crecimiento, busca Traficker Digital para campañas de Performance.. Escolaridad: Persona egresada de la Carrera de Economía,…","$15,000 - $18,000 al mes",https://mx.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AooLUkaZszNYXJa5t2s33g5qoI_PnclcrTb6T1G5TzZHAVq4I5SKOrGCbVtFN2CynohmjsIS-hLf0ZIRKuq5e2Vx8-iAYKHcFZk_qZVMdWW6kdZixMbRPZhnhhUjCC-w57KgTKF3NJ0vWkGPaGfb-E40_c28vIjlLSO9XHMyczC6G3FUnkIfjik1RHGM2DvHlsDX0xgjkhFlrAxoEAhE5k0H9l1z8oRaauEmIFWDHRwrxuegrkEhzexd-cUc8cx3bnMM3fbWHm54OvgTc3j7WNLLaIo9cECNQBzkG9toNmsaYissQZsJ0SB4rIRbt5wCuHcotUZTkoPIJsJA0udPBWGAppfDVOoCRy5CdKfYYMmEaWVo3dWRFHr7HPm-AfsPyBihU4bAqvwhL26IBdrHiD_VHJLj-roT7HK-sB_AqrCL6DoRX6WhUswCB4LRHQdduEHoyabaFZlATy7hGHSLOZkTDAxbhuGuMPnSry2lVL1eNTiHqT8Zms&p=2&fvj=1&vjs=3
ASISTENTE ADMINISTRATIVA,Talent Consultants ML,"Benito Juárez, CDMX",hace 13 días,2021-01-24,"Generar Logísticas Locales, Nacionales, Internacionales. Control de Remisiones de entregas y recolecciones. Recepción de Materiales e insumos.","$10,000 - $12,000 al mes",https://mx.indeed.com/company/Talent-Consultants-ML/jobs/Asistente-administrativa-9758d955efe06461?fccid=8dd453ecf8046388&vjs=3
Coordinador Administrativo,Cuprum,"Gustavo A. Madero, CDMX",hace 6 días,2021-01-24,\*Realizar el alta de los clientes con el fin de tener los registros necesarios para programación de suministros. \*Generar y consolidar reportes de clientes.,"$18,500 al año",https://mx.indeed.com/company/Cuprum/jobs/Coordinador-administrativo-5ac88871e230f4b9?fccid=eaa6c24411353fd6&vjs=3
Coordinador Administrativo de Proyectos.,Axioma Proyectos,"Cuauhtémoc, CDMX",Hace más de 30 días,2021-01-24,Manejo de programación y control de obra. En Axioma Proyectos buscamos al mejor talento para tomar nuevos retos. Dar seguimiento al programa de obra.,"$22,000 al mes",https://mx.indeed.com/rc/clk?jk=6d40848a926b1cc5&fccid=8d18b57b2007a73c&vjs=3
Recepcionista HITO,Teleton,"Ciudad de México, CDMX",Hace más de 30 días,2021-01-24,"Optimizando los recursos humanos y de servicio, a través de una programación eficiente y eficaz de cada uno de los servicios de las diferentes áreas.",,https://mx.indeed.com/rc/clk?jk=f30abba118746394&fccid=8b5f182760a580d6&vjs=3
Intendente de Obra,GRUPO GWEP,"Tláhuac, CDMX",hace 17 días,2021-01-24,Realizar la programación de los materiales y mano de obra para el cumplimiento del programa establecido. Somos una empresa con más de 20 AÑOS de experiencia…,"$28,000 - $35,000 al mes",https://mx.indeed.com/company/Cumbres-Herradura/jobs/Intendente-obra-60de446e42a91ad2?fccid=c7b54eea31a8bded&vjs=3
Analista administrativo,ALUVRI,"Iztapalapa, CDMX",hace 2 días,2021-01-24,Elaboración de reportes 4. captura de información 5. programación de rutas entre otras. 20 de febrero de 2021. L Ma Mi J V S.,"$6,000 al mes",https://mx.indeed.com/rc/clk?jk=d4f55b604350aaf0&fccid=104a993ea469da0a&vjs=3
Comprador JR,RUPED INTERNACIONAL,"Iztapalapa, CDMX",hace 1 día,2021-01-24,"Esta vacante viene de la bolsa de empleo Talenteca.com. Edad: 23 a 30 años. Ingenieria Industrial, Administracion Industrial, Quimica (Manejo de ERP).","$14,000 al mes",https://mx.indeed.com/rc/clk?jk=398a5c297486b985&fccid=489a22c31be33680&vjs=3
